Date,Category,Daily_Sales,Customer_Review
2025-01-20,Home & Kitchen,604.77,"Average quality, nothing special but works fine."
2025-01-21,Electronics,712.34,"Very happy with this, will buy again."
2025-01-22,Beauty,722.41,"Very happy with this, will buy again."
2025-01-23,Home & Kitchen,715.79,"It's fine for the price, no complaints."
2025-01-24,Home & Kitchen,645.19,"Very happy with this, will buy again."
2025-01-25,Electronics,626.83,"Terrible experience, product stopped working quickly."
2025-01-26,Home & Kitchen,666.19,"Excellent purchase, exceeded my expectations."
2025-01-27,Electronics,648.81,"Very happy with this, will buy again."
2025-01-28,Beauty,722.24,"Average quality, nothing special but works fine."
2025-01-29,Electronics,683.61,"Absolutely love this product, works great and arrived fast!"
2025-01-30,Electronics,756.91,"Fantastic product, exactly as described."
2025-01-31,Electronics,670.0,"Excellent purchase, exceeded my expectations."
2025-02-01,Clothing,658.11,"The product is okay, does what it says."
2025-02-02,Sports,714.3,"Fantastic product, exactly as described."
2025-02-03,Electronics,745.16,"Excellent purchase, exceeded my expectations."
2025-02-04,Home & Kitchen,748.93,"The product is okay, does what it says."
2025-02-05,Electronics,796.85,"Great quality for the price, highly recommend."
2025-02-06,Clothing,678.0,"Fantastic product, exactly as described."
2025-02-07,Clothing,702.93,"Average quality, nothing special but works fine."
2025-02-08,Electronics,661.01,"Not worth the money, would not recommend."
2025-02-09,Clothing,604.62,"Great quality for the price, highly recommend."
2025-02-10,Clothing,772.04,"Excellent purchase, exceeded my expectations."
2025-02-11,Electronics,739.55,"Not worth the money, would not recommend."
2025-02-12,Home & Kitchen,808.86,"Very happy with this, will buy again."
2025-02-13,Electronics,734.47,"Average quality, nothing special but works fine."
2025-02-14,Sports,741.11,"Very happy with this, will buy again."
2025-02-15,Electronics,723.53,"Average quality, nothing special but works fine."
2025-02-16,Sports,651.53,"Very happy with this, will buy again."
2025-02-17,Electronics,672.5,"Absolutely love this product, works great and arrived fast!"
2025-02-18,Sports,777.41,"Excellent purchase, exceeded my expectations."
2025-02-19,Electronics,830.22,"The product is okay, does what it says."
2025-02-20,Electronics,750.92,"Terrible experience, product stopped working quickly."
2025-02-21,Electronics,691.11,"Average quality, nothing special but works fine."
2025-02-22,Home & Kitchen,704.62,"Very happy with this, will buy again."
2025-02-23,Electronics,588.09,"Absolutely love this product, works great and arrived fast!"
2025-02-24,Electronics,720.71,"Not worth the money, would not recommend."
